Input1,Input2,Input3,Input4,Input5,Input6,Input7,Input8,Input9,Input10,Input11,Input12,Original Input3,Original Input12,Average Input
3.976,0.998,0.8618433946654493,5.582,1.15,2.063,0.64,0.295,1.212,5.054,2.955,0.8339222614840995,5.52,5.63,2.135063804679129
3.94,0.858,0.4613329095315897,5.413,1.075,1.763,0.604,0.428,1.149,5.054,2.813,0.4240282685512371,5.044,5.166,1.9985300981735687
3.787,0.953,0.5875441968636886,5.149,1.13,1.862,0.67,0.466,1.093,4.961,2.738,0.349823321554771,5.194,5.082,1.978863959868205
3.806,0.985,0.3856061371323306,5.435,1.141,1.906,0.685,0.355,1.161,5.026,2.7,0.13869257950530045,4.954,4.843,1.9770248930531356
3.834,0.895,1.0747197659655892,5.315,1.029,2.017,0.601,0.464,1.097,5.16,2.609,0.6766784452296823,5.773,5.452,2.064366517599606
3.796,1.167,0.6649537864273755,5.25,1.09,1.74,0.698,0.414,1.1,5.125,2.593,0.6890459363957602,5.286,5.466,2.027249976901928
3.682,0.881,0.6111036371656807,5.543,1.01,1.967,0.644,0.418,1.119,5.192,2.654,0.8666077738515909,5.222,5.667,2.048975950918106
3.751,1.005,0.6624295606807342,5.476,1.018,1.898,0.702,0.436,1.113,5.024,2.539,0.10335689045936469,5.283,4.803,1.9773155375950087
3.866,0.923,0.923266221167071,5.193,0.952,1.87,0.509,0.38,1.058,5.095,2.457,0.11130742049470044,5.593,4.812,1.9447978034718145
3.771,1.039,0.3881303628789727,5.197,0.862,1.838,0.518,0.392,1.102,5.098,2.643,0.6280918727915203,4.957,5.397,1.956351852972541
3.89,0.918,0.5370596819308495,4.994,1.086,1.748,0.54,0.359,0.985,5.059,2.606,0.5415194346289764,5.134,5.299,1.9386315930466524
